ID,note,success,mention,comp_devoir,comp_feedback,comp_fichier,comp_presence,comp_remises,comp_systeme,c_notTD,c_TD1,c_TD2,c_TD3,c_TD4,c_TD5,c_TD6,c_TD7,c_TD_all,day_with_inter,ev_class_access,ev_course_access,ev_homework_handed,ev_homework_status,ev_presence,ev_presence_check,ev_presence_set,interactions,interactionsAH,interactionsDO,inter_per_day_mean,inter_per_day_var,session_avg,session_sum,variete_all,variete_composant,variete_contexte,variete_evenement
142,19.0,1,5,68.0,1.0,36.0,14.0,12.0,39.0,21.0,10.0,8.0,8.0,7.0,5.0,6.0,6.0,50.0,20,38.0,71,6.0,21.0,4.0,10.0,4.0,170,29.0,10.0,8.5,33.63157894736842,0.6807971014492754,31.316666666666663,59,6,25,10
750,7.0,0,0,46.0,2.0,29.0,15.0,10.0,37.0,24.0,7.0,1.0,5.0,6.0,5.0,5.0,,29.0,16,36.0,53,5.0,13.0,5.0,10.0,5.0,139,7.0,5.0,8.6875,55.42916666666667,1.0514285714285714,36.8,52,6,23,11
430,8.0,0,0,50.0,,24.0,26.0,10.0,41.0,13.0,11.0,3.0,,5.0,5.0,6.0,6.0,36.0,12,37.0,49,5.0,15.0,4.0,22.0,4.0,151,67.0,,12.583333333333334,42.44696969696972,1.788333333333333,53.65,50,5,21,11
536,16.5,1,4,75.0,4.0,45.0,28.0,14.0,59.0,36.0,9.0,8.0,6.0,5.0,6.0,5.0,12.0,51.0,20,58.0,87,7.0,21.0,5.0,23.0,5.0,227,27.0,3.0,11.35,53.502631578947366,1.1034591194968553,58.48333333333333,71,8,31,12
71,6.0,0,0,90.0,2.0,44.0,17.0,16.0,39.0,23.0,11.0,12.0,19.0,8.0,6.0,5.0,6.0,67.0,20,38.0,90,8.0,16.0,4.0,13.0,4.0,208,59.0,1.0,10.4,103.30526315789476,1.2782608695652171,58.8,66,6,27,12
887,7.5,0,0,74.0,5.0,55.0,23.0,14.0,66.0,49.0,17.0,6.0,5.0,5.0,5.0,6.0,6.0,50.0,26,64.0,99,7.0,23.0,5.0,18.0,5.0,241,38.0,16.0,9.26923076923077,37.64461538461536,1.032795698924731,64.03333333333333,70,8,29,13
825,17.5,1,4,141.0,1.0,93.0,17.0,24.0,71.0,39.0,21.0,12.0,14.0,27.0,23.0,13.0,15.0,125.0,26,70.0,164,12.0,39.0,5.0,12.0,5.0,348,49.0,23.0,13.384615384615383,283.12615384615395,1.460441767068273,121.21666666666668,74,7,29,15
958,6.5,0,0,72.0,2.0,70.0,17.0,14.0,50.0,38.0,15.0,13.0,6.0,9.0,9.0,10.0,8.0,70.0,17,49.0,108,7.0,22.0,5.0,12.0,5.0,226,38.0,7.0,13.294117647058824,47.4705882352941,1.6029761904761906,89.76666666666667,70,7,31,11
204,18.5,1,5,63.0,2.0,37.0,14.0,14.0,38.0,21.0,9.0,9.0,10.0,5.0,5.0,6.0,5.0,49.0,14,36.0,70,7.0,16.0,4.0,10.0,4.0,170,34.0,4.0,12.142857142857142,29.97802197802198,0.9083333333333332,36.333333333333336,64,7,24,13
731,4.0,0,0,85.0,3.0,15.0,14.0,12.0,39.0,10.0,17.0,11.0,6.0,6.0,5.0,5.0,,50.0,12,33.0,60,6.0,27.0,4.0,10.0,4.0,170,32.0,,14.166666666666666,95.24242424242424,1.362068965517241,39.5,59,7,22,14
724,1.0,0,0,64.0,3.0,31.0,15.0,10.0,42.0,24.0,10.0,6.0,6.0,9.0,3.0,5.0,3.0,42.0,18,41.0,66,5.0,22.0,5.0,10.0,5.0,166,24.0,2.0,9.22222222222222,69.24183006535948,1.3650537634408602,42.31666666666667,51,7,24,12
3,8.5,0,0,78.0,2.0,34.0,12.0,14.0,44.0,21.0,10.0,5.0,6.0,7.0,6.0,8.0,14.0,56.0,12,42.0,77,7.0,25.0,1.0,11.0,1.0,187,47.0,1.0,15.583333333333334,130.44696969696972,1.2313725490196077,41.86666666666667,67,7,28,12
843,0.0,0,0,28.0,3.0,22.0,2.0,4.0,25.0,15.0,11.0,9.0,2.0,,,,2.0,24.0,6,25.0,39,2.0,10.0,,2.0,,85,13.0,,14.166666666666666,125.76666666666664,1.246078431372549,21.183333333333334,31,7,18,9
0,9.5,0,0,95.0,2.0,46.0,15.0,18.0,53.0,27.0,14.0,11.0,15.0,8.0,6.0,7.0,7.0,68.0,16,52.0,95,9.0,28.0,5.0,10.0,5.0,229,21.0,2.0,14.3125,153.6958333333333,1.4398373983739838,59.03333333333333,67,6,27,12
